JavaFile,CatchQuantity,CatchSLOC,CatchLOC,OverCatchAntiPattern,AbortAndOvercatch,CatchAndReturnNull,CatchAndDoNothing,CatchGeneric,DummyHandler,LogAndReturnNull,MultiLineLog,NestedTry,RelyingOnGetCause,IncompleteImplementation,DestructiveWrapping,CatchRecoverability
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/FailureInjectionPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSClientIOException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/TemporaryAWSCredentialsProvider.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AOpContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSBadRequestException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/MultipartUtils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Listing.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3GuardExistsRetryPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ObjectAttributes.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ListResult.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AnonymousAWSCredentialsProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSS3IOException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/UploadInfo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/Retries.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/AWSNoResponseException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3AEncryptionMethods.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/S3ARetryPolicy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/DefaultS3ClientFactory.java,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1
hadoop-tools/hadoop-aws/src/main/java/org/apache/hadoop/fs/s3a/WriteOperationHelper.java,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
